,Version,System,Name,c2id,c2api,c2qty,c2sym,c2type,c2submit,ibqty,ibsym,ibcur,ibexch,ibtype,ibsubmit,trade_freq,ibmult,c2mult,iblocalsym,signal,Date,timestamp,selection,ordertype
AD,v4.3,v4_AD,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@ADU7,future,1,2,AUD,USD,GLOBEX,FUT,0,60,50,50,AUD,-1.0,20170804,1501879573,Seasonality,MOC
BP,v4.3,v4_BP,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@BPU7,future,1,1,GBP,USD,GLOBEX,FUT,0,60,50,50,BP,-1.0,20170804,1501879573,Seasonality,MOC
CD,v4.3,v4_CD,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@CDU7,future,1,2,CAD,USD,GLOBEX,FUT,0,60,50,50,CD,-1.0,20170804,1501879573,Seasonality,MOC
CL,v4.3,v4_CL,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,QCLU7,future,1,1,CL,USD,GLOBEX,FUT,0,60,50,50,CL,-1.0,20170804,1501879573,Seasonality,MOC
CU,v4.3,v4_CU,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@EUU7,future,1,1,EUR,USD,GLOBEX,FUT,0,60,50,50,EUR,1.0,20170804,1501879573,Seasonality,MOC
EMD,v4.3,v4_EMD,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@EMDU7,future,1,1,EMD,USD,GLOBEX,FUT,0,60,50,50,EMD,1.0,20170804,1501879573,Seasonality,MOC
ES,v4.3,v4_ES,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@ESU7,future,1,1,ES,USD,GLOBEX,FUT,0,60,50,50,ES,-1.0,20170804,1501879573,Seasonality,MOC
FV,v4.3,v4_FV,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@FVU7,future,1,6,ZF,USD,GLOBEX,FUT,0,60,50,50,ZF,1.0,20170804,1501879573,Seasonality,MOC
GC,v4.3,v4_GC,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,QGCZ7,future,1,1,GC,USD,GLOBEX,FUT,0,60,50,50,GC,1.0,20170804,1501879573,Seasonality,MOC
HG,v4.3,v4_HG,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,QHGU7,future,1,2,HG,USD,GLOBEX,FUT,0,60,50,50,HG,-1.0,20170804,1501879573,Seasonality,MOC
HO,v4.3,v4_HO,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,QHOU7,future,1,1,HO,USD,GLOBEX,FUT,0,60,50,50,HO,1.0,20170804,1501879573,Seasonality,MOC
JY,v4.3,v4_JY,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@JYU7,future,1,1,JPY,USD,GLOBEX,FUT,0,60,50,50,JY,1.0,20170804,1501879573,Seasonality,MOC
MP,v4.3,v4_MP,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@PXU7,future,1,5,MXP,USD,GLOBEX,FUT,0,60,50,50,PX,-1.0,20170804,1501879573,Seasonality,MOC
NE,v4.3,v4_NE,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@NEU7,future,1,3,NZD,USD,GLOBEX,FUT,0,60,50,50,SB,-1.0,20170804,1501879573,Seasonality,MOC
NG,v4.3,v4_NG,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,QNGU7,future,1,2,NG,USD,GLOBEX,FUT,0,60,50,50,NG,-1.0,20170804,1501879573,Seasonality,MOC
NIY,v4.3,v4_NIY,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@NKDU7,future,1,1,NIY,USD,GLOBEX,FUT,0,60,50,50,SB,-1.0,20170804,1501879573,Seasonality,MOC
NQ,v4.3,v4_NQ,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@NQU7,future,1,1,NQ,USD,GLOBEX,FUT,0,60,50,50,NQ,-1.0,20170804,1501879573,Seasonality,MOC
PA,v4.3,v4_PA,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,QPAU7,future,1,1,PA,USD,GLOBEX,FUT,0,60,50,50,PA,-1.0,20170804,1501879573,Seasonality,MOC
PL,v4.3,v4_PL,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,QPLV7,future,1,3,PL,USD,GLOBEX,FUT,0,60,50,50,PL,-1.0,20170804,1501879573,Seasonality,MOC
RB,v4.3,v4_RB,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,QRBU7,future,1,1,RB,USD,GLOBEX,FUT,0,60,50,50,RB,1.0,20170804,1501879573,Seasonality,MOC
SF,v4.3,v4_SF,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@SFU7,future,1,3,CHF,USD,GLOBEX,FUT,0,60,50,50,SF,1.0,20170804,1501879573,Seasonality,MOC
SI,v4.3,v4_SI,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,QSIU7,future,1,1,SI,USD,GLOBEX,FUT,0,60,50,50,SI,-1.0,20170804,1501879573,Seasonality,MOC
TU,v4.3,v4_TU,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@TUU7,future,1,9,ZT,USD,GLOBEX,FUT,0,60,50,50,TU,1.0,20170804,1501879573,Seasonality,MOC
TY,v4.3,v4_TY,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@TYU7,future,1,4,ZN,USD,GLOBEX,FUT,0,60,50,50,TY,1.0,20170804,1501879573,Seasonality,MOC
US,v4.3,v4_US,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@USU7,future,1,1,ZB,USD,GLOBEX,FUT,0,60,50,50,US,1.0,20170804,1501879573,Seasonality,MOC
YM,v4.3,v4_YM,v4micro,110125347,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,0,@YMU7,future,1,2,YM,USD,GLOBEX,FUT,0,60,50,50,YM,1.0,20170804,1501879573,Seasonality,MOC
