,Version,System,Name,c2id,c2api,c2qty,c2sym,c2type,c2submit,ibqty,ibsym,ibcur,ibexch,ibtype,ibsubmit,trade_freq,ibmult,c2mult,iblocalsym,signal,Date,timestamp,selection,ordertype
AD,v4.3,v4_AD,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@ADU7,future,1,2,AUD,USD,GLOBEX,FUT,0,60,50,50,AUD,0.0,20170804,1501893614,Off,immediate
BO,v4.3,v4_BO,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,2,@BOZ7,future,1,4,ZL,USD,GLOBEX,FUT,0,60,50,50,BO,0.0,20170804,1501893614,Off,immediate
BP,v4.3,v4_BP,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@BPU7,future,1,1,GBP,USD,GLOBEX,FUT,0,60,50,50,BP,0.0,20170804,1501893614,Off,immediate
C,v4.3,v4_C,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,2,@CZ7,future,1,2,ZC,USD,GLOBEX,FUT,0,60,50,50,C,0.0,20170804,1501893614,Off,immediate
CD,v4.3,v4_CD,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@CDU7,future,1,2,CAD,USD,GLOBEX,FUT,0,60,50,50,CD,0.0,20170804,1501893614,Off,immediate
CL,v4.3,v4_CL,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,QCLU7,future,1,1,CL,USD,GLOBEX,FUT,0,60,50,50,CL,0.0,20170804,1501893614,Off,immediate
CU,v4.3,v4_CU,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@EUU7,future,1,1,EUR,USD,GLOBEX,FUT,0,60,50,50,EUR,0.0,20170804,1501893614,Off,immediate
EMD,v4.3,v4_EMD,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@EMDU7,future,1,1,EMD,USD,GLOBEX,FUT,0,60,50,50,EMD,0.0,20170804,1501893614,Off,immediate
ES,v4.3,v4_ES,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@ESU7,future,1,1,ES,USD,GLOBEX,FUT,0,60,50,50,ES,0.0,20170804,1501893614,Off,immediate
FC,v4.3,v4_FC,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@GFU7,future,1,1,GF,USD,GLOBEX,FUT,0,60,50,50,GF,0.0,20170804,1501893614,Off,immediate
FV,v4.3,v4_FV,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,4,@FVU7,future,1,6,ZF,USD,GLOBEX,FUT,0,60,50,50,ZF,0.0,20170804,1501893614,Off,immediate
GC,v4.3,v4_GC,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,QGCZ7,future,1,1,GC,USD,GLOBEX,FUT,0,60,50,50,GC,0.0,20170804,1501893614,Off,immediate
HG,v4.3,v4_HG,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,QHGU7,future,1,2,HG,USD,GLOBEX,FUT,0,60,50,50,HG,0.0,20170804,1501893614,Off,immediate
HO,v4.3,v4_HO,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,QHOU7,future,1,1,HO,USD,GLOBEX,FUT,0,60,50,50,HO,0.0,20170804,1501893614,Off,immediate
JY,v4.3,v4_JY,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@JYU7,future,1,1,JPY,USD,GLOBEX,FUT,0,60,50,50,JY,0.0,20170804,1501893614,Off,immediate
LC,v4.3,v4_LC,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@LEV7,future,1,2,LE,USD,GLOBEX,FUT,0,60,50,50,LE,0.0,20170804,1501893614,Off,immediate
LH,v4.3,v4_LH,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@HEV7,future,1,2,HE,USD,GLOBEX,FUT,0,60,50,50,HE,0.0,20170804,1501893614,Off,immediate
MP,v4.3,v4_MP,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,4,@PXU7,future,1,5,MXP,USD,GLOBEX,FUT,0,60,50,50,PX,0.0,20170804,1501893614,Off,immediate
NE,v4.3,v4_NE,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@NEU7,future,1,3,NZD,USD,GLOBEX,FUT,0,60,50,50,SB,0.0,20170804,1501893614,Off,immediate
NG,v4.3,v4_NG,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,QNGU7,future,1,2,NG,USD,GLOBEX,FUT,0,60,50,50,NG,0.0,20170804,1501893614,Off,immediate
NIY,v4.3,v4_NIY,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@NKDU7,future,1,1,NIY,USD,GLOBEX,FUT,0,60,50,50,SB,0.0,20170804,1501893614,Off,immediate
NQ,v4.3,v4_NQ,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@NQU7,future,1,1,NQ,USD,GLOBEX,FUT,0,60,50,50,NQ,0.0,20170804,1501893614,Off,immediate
PA,v4.3,v4_PA,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,QPAU7,future,1,1,PA,USD,GLOBEX,FUT,0,60,50,50,PA,0.0,20170804,1501893614,Off,immediate
PL,v4.3,v4_PL,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,QPLV7,future,1,3,PL,USD,GLOBEX,FUT,0,60,50,50,PL,0.0,20170804,1501893614,Off,immediate
RB,v4.3,v4_RB,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,QRBU7,future,1,1,RB,USD,GLOBEX,FUT,0,60,50,50,RB,0.0,20170804,1501893614,Off,immediate
S,v4.3,v4_S,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@SX7,future,1,1,ZS,USD,GLOBEX,FUT,0,60,50,50,S,0.0,20170804,1501893614,Off,immediate
SF,v4.3,v4_SF,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@SFU7,future,1,3,CHF,USD,GLOBEX,FUT,0,60,50,50,SF,0.0,20170804,1501893614,Off,immediate
SI,v4.3,v4_SI,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,QSIU7,future,1,1,SI,USD,GLOBEX,FUT,0,60,50,50,SI,0.0,20170804,1501893614,Off,immediate
SM,v4.3,v4_SM,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,1,@SMZ7,future,1,2,ZM,USD,GLOBEX,FUT,0,60,50,50,SM,0.0,20170804,1501893614,Off,immediate
TU,v4.3,v4_TU,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,8,@TUU7,future,1,9,ZT,USD,GLOBEX,FUT,0,60,50,50,TU,0.0,20170804,1501893614,Off,immediate
TY,v4.3,v4_TY,v4futures,110126294,O9WoxVj7DNXkpifMY_blqHpFg5cp3Fjqc7Aiu4KQjb8mXQlEVx,2,@TYU7,future,1,4,ZN,USD,GLOBEX,FUT,0,60,50,50,TY,0.0,20170804,1501893614,Off,immediate
