ibsym,Desc,Display,filename,ibexch,c2sym,ibtype,currency,CSImultiplier,IB2CSI_mult,CSIsym2,CSIsym,triggertime,max_margin,MaintMargin_Exchange,InitMarginReq_IB,MaintMarginReq_IB,IB2CSI,Timezone,Months,MultDesc,Rate,Group,Subscribed,signals_OFF,signals_RISKON,signals_RISKOFF,signals_EXCESS,signals_ANTI_EXCESS
AUD,Australian Dollar-CME(Floor+Electronic Combined),Australian Dollar,AD_B.CSV,GLOBEX,@AD,FUT,USD,100000,0,AD,AD,30,2655.38,1500,2655.38,2124.3,1,CST,HMUZ,100K AUD,USDUSD,currency,TRUE,0,1,-1,1,-1
ZL,Soybean Oil-CBT (Floor+Electronic Combined),Soybean Oil,BO2_B.CSV,ECBOT,@BO,FUT,USD,600,0,BO2,BO,15,825,825,750,600,1,CST,FHKNQUVZ,60K LBS,USDUSD,grain,TRUE,0,1,-1,1,-1
GBP,British Pound-CME(Floor+Electronic Combined),British Pound,BP_B.CSV,GLOBEX,@BP,FUT,USD,62500,0,BP,BP,30,7351.41,2750,7351.41,5881.13,1,CST,HMUZ,62.5K GBP,USDUSD,currency,TRUE,0,1,-1,1,-1
ZC,Corn-CBT (Floor+Electronic Combined),Corn,C2_B.CSV,ECBOT,@C,FUT,USD,50,0,C2,C,15,900,900,687.5,550,1,CST,HKNUZ,5K BUSHELS,USDUSD,grain,TRUE,0,1,-1,1,-1
CAD,Canadian Dollar-CME(Floor+Electronic Combined),Canadian Dollar,CD_B.CSV,GLOBEX,@CD,FUT,USD,100000,0,CD,CD,30,2608.5,1200,2608.5,2086.8,1,CST,HMUZ,100K CAD,USDUSD,currency,TRUE,0,1,-1,1,-1
CL,Crude Oil-Light-NYMEX(Floor+Electronic Combined),Crude Oil,CL2_B.CSV,NYMEX,QCL,FUT,USD,1000,0,CL2,CL,30,2900,2900,2437.5,1950,1,EST5EDT,FGHJKMNQUVXZ,1K BARRELS,USDUSD,energy,TRUE,0,1,-1,1,-1
EUR,Euro(Floor+Electronic Combined)-CME,Euro,CU_B.CSV,GLOBEX,@EU,FUT,USD,125000,0,CU,CU,30,6928.59,2750,6928.59,5542.88,1,CST,HMUZ,125K EUR,USDUSD,currency,TRUE,0,1,-1,1,-1
EMD,Index-S&P Midcap 400 E-mini-CME,S&P Midcap 400,EMD_B.CSV,GLOBEX,@EMD,FUT,USD,100,0,EMD,EMD,30,11475,7200,11475,9180,1,CST,HMUZ,$100 x INDEX,USDUSD,index,TRUE,0,1,-1,1,-1
ES,S&P 500 Index-E-mini-CME,S&P 500,ES_B.CSV,GLOBEX,@ES,FUT,USD,50,0,ES,ES,30,8078.25,4750,8078.25,6462.6,1,CST,HMUZ,$50 x INDEX,USDUSD,index,TRUE,0,1,-1,1,-1
GF,Cattle-Feeder-CME(Floor+Electronic Combined),Feeder Cattle,FC_B.CSV,GLOBEX,@GF,FUT,USD,500,0,FC,FC,10,3500,3000,3500,2800,1,CST,FHJKQUVX,50K LBS,USDUSD,meat,TRUE,0,1,-1,-1,1
ZF,T-Note-U.S. 5 Yr-CBT(Floor+Electronic Combined),5 Year T-Note,FV_B.CSV,ECBOT,@FV,FUT,USD,1000,0,FV,FV,30,850,850,745,596,1,CST,HMUZ,$1000 x PRICE,USDUSD,debt,TRUE,0,-1,1,1,-1
GC,Gold-COMEX(Floor+Electronic Combined),Gold,GC2_B.CSV,NYMEX,QGC,FUT,USD,100,0,GC2,GC,30,6063.75,5400,6063.75,4851,1,EST5EDT,GJMQVZ,100 OZ TROY,USDUSD,metal,TRUE,0,-1,1,1,-1
HG,CopperHG-COMEX(Floor+Electronic Combined),Copper,HG2_B.CSV,NYMEX,QHG,FUT,USD,250,100,HG2,HG,30,3898.75,3100,3898.75,3119,100,EST5EDT,HKNUVZ,25K LBS,USDUSD,metal,TRUE,0,1,-1,1,-1
HO,Heating Oil #2-NYMEX(Floor+Electronic Combined),Heating Oil,HO2_B.CSV,NYMEX,QHO,FUT,USD,42000,0,HO2,HO,30,4150,4150,3875,3100,1,EST5EDT,FGHJKMNQUVXZ,42K GALLONS,USDUSD,energy,TRUE,0,1,-1,1,-1
JPY,Japanese Yen-CME(Floor+Electronic Combined),Japanese Yen,JY_B.CSV,GLOBEX,@JY,FUT,USD,125000,100,JY,JY,30,4000,4000,3937.5,3150,100,CST,HMUZ,12.5M JPY,USDUSD,currency,TRUE,0,-1,1,1,-1
LE,Cattle-Live(Floor+Electronic Combined)-CME,Live Cattle,LC_B.CSV,GLOBEX,@LE,FUT,USD,400,0,LC,LC,10,2198.75,1550,2198.75,1759,1,CST,FGHJMQVZ,40K LBS,USDUSD,meat,TRUE,0,1,-1,-1,1
HE,Hogs-Lean(Floor+Electronic Combined)-CME,Lean Hogs,LH_B.CSV,GLOBEX,@HE,FUT,USD,400,0,LH,LH,10,1800,1200,1800,1440,1,CST,GJKMNQVZ,40K LBS,USDUSD,meat,TRUE,0,1,-1,-1,1
MXP,Mexican Peso(Floor+Electronic Combined)-CME,Mexican Peso,MP_B.CSV,GLOBEX,@PX,FUT,USD,500000,0,MP,MP,30,1870,1750,1870,1100,1,CST,FHMUZ,500K MXP,USDUSD,currency,TRUE,0,1,-1,1,-1
NZD,New Zealand Dollar-CME(Floor+Electronic Combined),New Zealand Dollar,NE_B.CSV,GLOBEX,@NE,FUT,USD,100000,0,NE,NE,30,3018.75,1400,3018.75,2415,1,CST,HMUZ,100K NZD,USDUSD,currency,TRUE,0,1,-1,1,-1
NG,Natural Gas-Henry Hub-NYMEX(Floor+Electronic Combined),Natural Gas,NG2_B.CSV,NYMEX,QNG,FUT,USD,10000,0,NG2,NG,30,3100,3100,2750,2200,1,EST5EDT,FGHJKMNQUVXZ,10K mmBtu,USDUSD,energy,TRUE,0,1,-1,1,-1
NIY,Nikkei 225 Index-Yen(Floor+Electronic Combined)-CME,Nikkei 225,NIY_B.CSV,GLOBEX,@NKD,FUT,JPY,500,0,NIY,NIY,30,7550.8,4400,7550.8,6040.65,1,CST,HMUZ,500 JPY x INDEX,USDJPY,index,TRUE,0,1,-1,-1,1
NQ,Nasdaq 100 Index-E-mini,Nasdaq 100,NQ_B.CSV,GLOBEX,@NQ,FUT,USD,20,0,NQ,NQ,30,6972.24,3900,6972.24,5577.79,1,CST,HMUZ,$20 x INDEX,USDUSD,index,TRUE,0,1,-1,1,-1
PA,Palladium-NYMEX(Floor+Electronic Combined),Palladium,PA2_B.CSV,NYMEX,QPA,FUT,USD,100,0,PA2,PA,30,6875,4000,6875,5500,1,EST5EDT,HMUZ,100 OZ TROY,USDUSD,metal,TRUE,0,1,-1,1,-1
PL,Platinum-NYMEX(Floor+Electronic Combined),Platinum,PL2_B.CSV,NYMEX,QPL,FUT,USD,50,0,PL2,PL,30,2400,2400,2166.25,1733,1,EST5EDT,FJNV,50 OZ TROY,USDUSD,metal,TRUE,0,-1,1,1,-1
